Node Number	X Location (in)	Y Location (in)	Z Location (in)	Equivalent Elastic Strain (in/in)
104	9.216	3.5721	0.1	6.3655e-005
105	10.487	3.5531	0.1	5.3555e-005
106	11.714	3.5119	0.1	4.4703e-005
107	12.831	3.5172	0.1	3.7098e-005
108	13.963	3.5131	0.1	3.0241e-005
109	15.074	3.5179	0.1	2.4112e-005
110	16.183	3.527	0.1	1.8732e-005
111	17.29	3.5372	0.1	1.4052e-005
112	18.406	3.5621	0.1	1.0072e-005
113	19.508	3.5728	0.1	6.837e-006
114	20.622	3.5905	0.1	4.3222e-006
115	21.75	3.5953	0.1	2.5503e-006
116	21.749	2.3965	0.1	2.5515e-006
117	20.635	2.3858	0.1	4.2982e-006
118	19.521	2.3799	0.1	6.8098e-006
119	18.41	2.3619	0.1	1.0056e-005
120	17.299	2.359	0.1	1.4015e-005
121	16.189	2.357	0.1	1.8704e-005
122	15.075	2.3547	0.1	2.4103e-005
123	13.966	2.3525	0.1	3.0209e-005
124	12.835	2.3432	0.1	3.712e-005
125	11.674	2.3467	0.1	4.4998e-005
126	10.471	2.3661	0.1	5.3743e-005
127	9.2063	2.406	0.1	6.3218e-005
128	7.8248	2.4749	0.1	7.48e-005
129	6.1428	2.6102	0.1	9.1263e-005
130	4.8735	5.2843	0.1	9.6725e-005
131	5.7905	5.0843	0.1	9.3879e-005
132	6.91	4.8431	0.1	8.3126e-005
133	8.1514	4.7825	0.1	7.3597e-005
134	9.3561	4.7489	0.1	6.3262e-005
135	10.555	4.7446	0.1	5.3399e-005
136	11.722	4.7493	0.1	4.48e-005
137	12.858	4.6754	0.1	3.7025e-005
138	13.968	4.6747	0.1	3.0237e-005
139	15.076	4.6792	0.1	2.4107e-005
140	16.184	4.6936	0.1	1.8705e-005
141	17.294	4.7253	0.1	1.3995e-005
142	18.406	4.7634	0.1	1.0008e-005
143	19.519	4.7803	0.1	6.7211e-006
144	20.634	4.7961	0.1	4.1611e-006
145	21.758	4.796	0.1	2.3233e-006
146	22.878	4.7974	0.1	1.2289e-006
147	22.871	3.6026	0.1	1.5669e-006
148	22.869	2.3929	0.1	1.5651e-006
149	22.881	1.195	0.1	1.2273e-006
150	21.764	1.193	0.1	2.3117e-006
151	20.643	1.1848	0.1	4.143e-006
152	19.529	1.179	0.1	6.694e-006
153	18.414	1.1799	0.1	9.9732e-006
154	17.302	1.1796	0.1	1.3958e-005
155	16.193	1.1768	0.1	1.866e-005
156	15.079	1.1744	0.1	2.4072e-005
157	13.971	1.173	0.1	3.0202e-005
158	12.849	1.173	0.1	3.7131e-005
159	11.705	1.1796	0.1	4.4884e-005
160	10.537	1.1913	0.1	5.3562e-005
161	9.3224	1.2242	0.1	6.3041e-005
162	8.0412	1.2944	0.1	7.3668e-005
163	6.7924	1.3399	0.1	8.4703e-005
164	5.6751	1.1209	0.1	1.0047e-004
165	4.7055	0.78601	0.1	9.3268e-005
166	1.0412	2.6396	0.1	1.7862e-004
167	0.97196	4.8201	0.1	1.355e-004
168	4.6299	3.4382	0.1	1.2008e-004
169	0.93504	3.7034	0.1	1.726e-004
170	3.9049	5.4257	0.1	7.8454e-005
171	1.8399	3.6721	0.1	1.7349e-004
172	1.8203	5.2897	0.1	1.0989e-004
173	3.8317	0.51892	0.1	8.3182e-005
174	0.98696	0.76414	0.1	1.4429e-004
175	1.8627	0.51646	0.1	9.8624e-005
176	4.4708	4.5861	0.1	1.0284e-004
177	1.2631	1.8721	0.1	1.6539e-004
178	3.9226	1.354	0.1	1.246e-004
179	2.8088	2.8497	0.1	2.2153e-004
180	2.1098	2.7379	0.1	1.9201e-004
