Node Number	X Location (in)	Y Location (in)	Z Location (in)	Minimum Principal Elastic Strain (in/in)
571	5.888	4.7273	0.	-4.5381e-004
572	5.888	4.5455	0.	-4.5365e-004
573	5.888	4.3636	0.	-4.5346e-004
574	5.888	4.1818	0.	-4.5327e-004
575	5.888	4.	0.	-4.5308e-004
576	5.888	3.8182	0.	-4.5289e-004
577	5.888	3.6364	0.	-4.5273e-004
578	5.888	3.4545	0.	-4.5259e-004
579	5.888	3.2727	0.	-4.525e-004
580	5.888	3.0909	0.	-4.5245e-004
581	5.888	2.9091	0.	-4.5245e-004
582	5.888	2.7273	0.	-4.525e-004
583	5.888	2.5455	0.	-4.5259e-004
584	5.888	2.3636	0.	-4.5273e-004
585	5.888	2.1818	0.	-4.5289e-004
586	5.888	2.	0.	-4.5308e-004
587	5.888	1.8182	0.	-4.5327e-004
588	5.888	1.6364	0.	-4.5346e-004
589	5.888	1.4545	0.	-4.5365e-004
590	5.888	1.2727	0.	-4.5381e-004
591	5.888	1.0909	0.	-4.5397e-004
592	5.888	0.90909	0.	-4.5411e-004
593	5.888	0.72727	0.	-4.5426e-004
594	5.888	0.54545	0.	-4.5443e-004
595	5.888	0.36364	0.	-4.5464e-004
596	5.888	0.18182	0.	-4.5493e-004
597	5.704	5.8182	0.	-4.6263e-004
598	5.704	5.6364	0.	-4.6194e-004
599	5.704	5.4545	0.	-4.6132e-004
